university,policy_type,policy_title,policy_explanation,effective_year
University College London,Data Protection Policy,Digital Information Security Policy,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2020
Vietnam National University Ho Chi Minh City,Attendance Policy,Class Participation and Attendance Guidelines,Defines minimum attendance requirements and participation expectations for successful course completion.,2018
Yale University,Attendance Policy,Minimum Attendance Requirement Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2019
Mahidol University,Academic Integrity Policy,Academic Honesty and Integrity Code,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2022
University of Washington,Student Welfare Policy,Student Wellbeing and Support Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2018
Nanyang Technological University,Research Policy,Open Research and Publication Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2019
Indian Institute of Technology Roorkee,Academic Integrity Policy,Plagiarism Prevention Policy,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2019
University of Hyderabad,Scholarship Policy,International Scholarship Program Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2024
University of Washington,Attendance Policy,Graduate Attendance and Participation Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2021
Tokyo Institute of Technology,International Student Policy,Global Student Integration Framework,"Supports international students through visa guidance, integration programs, and academic assistance.",2021
Massachusetts Institute of Technology,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2020
University of California Los Angeles,Student Welfare Policy,Student Grievance Redressal Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2020
Columbia University,Scholarship Policy,International Scholarship Program Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2024
Nagoya University,Academic Integrity Policy,Graduate Academic Integrity Regulations,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2019
Banaras Hindu University,Attendance Policy,Minimum Attendance Requirement Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2022
Delft University of Technology,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2020
Vietnam National University Ho Chi Minh City,Student Welfare Policy,Student Grievance Redressal Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2020
Hokkaido University,Examination Policy,Graduate Assessment and Evaluation Regulations,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2023
Chulalongkorn University,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2018
Osaka University,Admission Policy,Postgraduate Admission Framework,"Defines eligibility criteria, application procedures, and merit-based selection processes for postgraduate admissions.",2019
Indian Institute of Technology Roorkee,Student Welfare Policy,Campus Mental Health and Counselling Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2022
EPFL Lausanne,Attendance Policy,Class Participation and Attendance Guidelines,Defines minimum attendance requirements and participation expectations for successful course completion.,2023
Banaras Hindu University,Data Protection Policy,Student Data Privacy and Protection Policy,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2022
University of Copenhagen,Admission Policy,Graduate Selection and Eligibility Policy,"Defines eligibility criteria, application procedures, and merit-based selection processes for postgraduate admissions.",2019
Harvard University,Admission Policy,Postgraduate Admission Framework,"Defines eligibility criteria, application procedures, and merit-based selection processes for postgraduate admissions.",2022
Heidelberg University,Admission Policy,International Graduate Admission Guidelines,"Defines eligibility criteria, application procedures, and merit-based selection processes for postgraduate admissions.",2019
Kyushu University,Graduate Program Policy,Postgraduate Program Governance Framework,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2018
Indian Institute of Technology Delhi,Data Protection Policy,Institutional Data Governance Framework,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2024
University of Amsterdam,Student Welfare Policy,Campus Mental Health and Counselling Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2022
Hanoi University of Science and Technology,Research Policy,Responsible Conduct of Research Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2024
ETH Zurich,Research Policy,Research Ethics and Compliance Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2020
University of Cambridge,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2019
University of Cambridge,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2019
University of Amsterdam,Research Policy,Responsible Conduct of Research Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2023
Indian Institute of Technology Roorkee,Data Protection Policy,Institutional Data Governance Framework,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2018
Jawaharlal Nehru University,Attendance Policy,Graduate Attendance and Participation Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2021
Hokkaido University,Academic Integrity Policy,Graduate Academic Integrity Regulations,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2018
University of Delhi,Research Policy,Research Ethics and Compliance Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2021
